English,Urdu,Russian,korean
 society, معاشرہ, общество, 사회
 son, بیٹا,сын,아들
 song, گانا, песня, 노래
 sort, ترتیب دیں,сортировать, 종류
 sound, آواز, звук, 소리
 soup, سوپ,суп, 국
 space, جگہ, космос, 공간
 stage, مرحلہ, этап,무대
 start, شروع, начинать, 시작
 statement, بیان, заявление, 성명
 steam, بھاپ, пар,증기
 steel, سٹیل, сталь,강철
 step, قدم, шаг, 단계
 stitch, سلائی,стежок,스티치
 stone, پتھر, камень, 결석
 stop, روکو, останавливаться, 멈추다
 story, کہانی,история, 이야기
 stretch, کھینچنا, потягиваться,스트레칭
 structure, ساخت,структура, 구조
 substance, مادہ,вещество, 물질
 sugar, چینی,сахар, 설탕
 suggestion, تجویز, предположение, 제안
 summer, موسم گرما, лето, 여름
 support, حمایت, поддерживать, 지원하다
 surprise, حیرت,сюрприз, 놀라다
 swim, تیرنا,плавать,수영하다
 system, نظام, система,시스템
 talk, بات, разговаривать, 말하다
 taste, ذائقہ, вкус, 맛
 tax, ٹیکس,налог,세금
 teaching, تعلیم,преподавание,가르치다
 tendency, رجحان,тенденция, 성향
 test, ٹیسٹ, тест, 시험
 theory, نظریہ,теория, 이론
 thing, چیز, вещь, 물건
 thought, سوچا, мысль, 생각
 thunder, گرج, гром,천둥
 time, وقت, время, 시간
 tin, ٹن,олово,주석
 top, سب سے اوپر, вершина, 맨 위
 touch, چھو, трогать, 만지다
 trade, تجارت, торговля, 거래
 transport, نقل و حمل,транспорт,운송
 trick, چال, обманывать,속임수
 trouble, مصیبت, беда, 문제
 turn, موڑ, повернуть, 회전하다
 twist, موڑ, крутить,꼬다
 unit, یونٹ, единица, 단위
 use, استعمال کریں, использовать, 사용
 value, قدر, ценить, 값
 verse, آیت,стих,구절
 vessel, برتن, судно, 선박
 view, دیکھیں, вид, 보다
 voice, آواز, голос, 목소리
 walk, چلنا, ходить, 걷다
 war, جنگ, война, 전쟁
 wash, دھونا, стирать, 씻다
 waste, فضلہ, напрасно тратить, 쓰레기
 water, پانی, вода, 물
 wave, لہر, волна, 파도
 wax, موم,воск,왁스
 way, راستہ, способ, 방법
 weather, موسم, погода, 날씨
 week, ہفتہ, неделя, 주
 weight, وزن, масса, 무게
 wind, ہوا, ветер, 바람
 wine, شراب, вино, 와인
 winter, موسم سرما, зима, 겨울
 woman, عورت, женщина, 여성
 wood, لکڑی, древесина,나무
 wool, اون, шерсть,양모
 word, لفظ, слово, 단어
 work, کام, работа, 일하다
 wound, زخم, ранить, 상처
 writing, تحریر, письмо, 글쓰기
 year, سال, год, 년도
 angle, زاویہ, угол,각도
 ant, چیونٹی,муравей,개미
 apple, سیب, яблоко, 사과
 arch, محراب,арка,아치
 arm, بازو, рука, 팔
 army, فوج,армия, 군대
 baby, بچہ, малыш, 아기
 bag, بیگ, сумка, 가방
 ball, گیند, мяч, 공
 band, بینڈ, группа,밴드
 basin, بیسن,бассейн,분지
 basket, ٹوکری,корзина,바구니
 bath, غسل, ванна, 욕조
 bed, بستر, кровать, 침대
 bee, شہد کی مکھی,пчела, 벌
 bell, گھنٹی,колокол,종
 berry, بیری, ягода,베리
 bird, پرندہ, птица, 새
 blade, بلیڈ, лезвие,칼날
 board, بورڈ, доска, 판자
 boat, کشتی, лодка,보트
 bone, ہڈی, кость,뼈
 book, کتاب, книга, 책
 boot, بوٹ, ботинок,부츠
 bottle, بوتل,бутылка, 병
 box, باکس, коробка, 상자
 boy, لڑکا, мальчик, 소년
 brain, دماغ, мозг, 뇌
 brake, بریک,тормоз,브레이크
 branch, شاخ, ветвь, 나뭇가지
 brick, اینٹ,кирпич, 벽돌
 bridge, پل, мост, 다리
 brush, برش, щетка,브러시
 bucket, بالٹی, ведро,양동이
 bulb, بلب,лампочка,전구
 button, بٹن, кнопка,버튼
 cake, کیک, торт, 케이크
 camera, کیمرے,камера, 카메라
 card, کارڈ,карта,카드
 cart, ٹوکری,тележка,카트
 carriage, گاڑی, перевозка,마차
 cat, بلی, кот, 고양이
 chain, زنجیر, цепь,체인
 cheese, پنیر, сыр, 치즈
 chest, سینہ, грудь, 가슴
 chin, ٹھوڑی, подбородок, 턱
 church, چرچ, церковь, 교회
 circle, دائرہ, круг, 원
 clock, گھڑی,часы, 시계
 cloud, بادل, облако, 구름
 coat, کوٹ, пальто, 코트
 collar, کالر, воротник,칼라
 comb, کنگھی, гребень,빗
 cord, ڈوری,шнур,코드
 cow, گائے, корова, 암소
 cup, کپ, чашка, 컵
 curtain, پردہ, занавес,커튼
 cushion, کشن, подушка,쿠션
 dog, کتا, собака, 개
 door, دروازہ,дверь,문
 drain, نالی, осушать, 물을 빼다
 drawer, دراز, ящик, 서랍
 dress, لباس, одеваться, 드레스
 drop, ڈراپ, уронить, 떨어지다
 ear, کان, ухо, 귀
 egg, انڈا,яйцо, 계란
 engine, انجن, двигатель,엔진
 eye, آنکھ, глаз, 눈
 face, چہرہ, лицо, 얼굴
 farm, فارم,ферма, 농장
 feather, پنکھ, перо, 깃털
 finger, انگلی,палец,손가락
 fish, مچھلی, рыба, 물고기
 flag, پرچم,флаг, 깃발
 floor, فرش, пол, 바닥
 fly, پرواز, летать, 파리
 foot, پاؤں, ступня, 발
 fork, کانٹا, вилка, 포크
 fowl, پرندہ,домашняя птица,가금류
 frame, فریم, рамка, 액자
 garden, باغ, сад, 정원
 girl, لڑکی, девочка, 소녀
 glove, دستانے,перчатка,장갑
 goat, بکری, козел, 염소
 gun, بندوق, пистолет,총
 hair, بال, волосы, 머리카락
 hammer, ہتھوڑا, молоток,망치
 hand, ہاتھ, рука, 손
 hat, ٹوپی,шляпа,모자
 head, سر, голова, 머리
 heart, دل, сердце, 마음
 hook, ہک, крюк,갈고리
 horn, سینگ, рог,뿔
 horse, گھوڑا, лошадь, 말
 hospital, ہسپتال,больница, 병원
 house, گھر, дом, 집
 island, جزیرہ,остров, 섬
 jewel, زیور,драгоценность,보석
 kettle, کیتلی, чайник,주전자
 key, کلید, ключ, 열쇠
 knee, گھٹنے, колено, 무릎
 knife, چاقو, нож, 칼
 knot, گرہ,узел,매듭
 leaf, پتی, лист, 잎
 leg, ٹانگ, нога, 다리
 library, لائبریری,библиотека, 도서관
 line, لائن, линия, 선
 lip, ہونٹ,губа,입술
 lock, تالا, замок, 잠그다
 map, نقشہ,карта, 지도
 match, میچ, соответствовать, 성냥
 monkey, بندر,обезьяна, 원숭이
 moon, چاند, луна, 달
 mouth, منہ, рот, 입
 muscle, پٹھوں,мышца,근육
 nail, کیل, ноготь, 못
 neck, گردن, шея, 목
 needle, سوئی, иголка,바늘
 nerve, اعصاب,нерв,신경
 net, نیٹ, сеть, 그물
 nose, ناک,нос, 코
 nut, نٹ, орех,너트
 office, دفتر, офис, 사무실
 orange, کینو, апельсин, 주황색
 oven, تندور, печь,오븐
 parcel, پارسل, посылка, 소포
 pen, قلم, ручка, 펜
 pencil, پنسل,карандаш, 연필
 picture, تصویر, картина, 그림
 pig, سور,свинья, 돼지
 pin, پن, приколоть,핀
 pipe, پائپ, трубка,파이프
 plane, ہوائی جہاز, самолет, 비행기
 plate, پلیٹ, тарелка, 그릇
 plough, ہل,плуг,쟁기
 pocket, جیب,карман,주머니
 pot, برتن,горшок,냄비
 potato, آلو, картофель, 감자
 prison, جیل, тюрьма, 감옥
 pump, پمپ, насос,펌프
 rail, ریل,рельс,철도
 rat, چوہا, крыса, 쥐
 receipt, رسید, квитанция, 영수증
 ring, انگوٹھی, кольцо, 반지
 rod, چھڑی, стержень,막대
 roof, چھت, крыша, 지붕
 root, جڑ, корень,뿌리
 sail, جہاز, плыть,돛
 school, اسکول, школа, 학교
 scissors, کینچی, ножницы, 가위
 screw, پیچ, винт,나사
 seed, بیج, семя, 씨앗
 sheep, بھیڑ, овца, 양
 shelf, شیلف, полка, 선반
 ship, جہاز, корабль, 배
 shirt, قمیض, рубашка, 셔츠
 shoe, جوتا,ботинок,신발
 skin, جلد, кожа, 피부
 skirt, سکرٹ, юбка, 치마
 snake, سانپ,змея, 뱀
 sock, جراب,носок,양말
 spade, کودال,лопата,스페이드
 sponge, سپنج,губка,스펀지
 spoon, چمچ, ложка, 숟가락
 spring, موسم بہار, весна, 봄
 square, مربع, квадрат, 정사각형
 stamp, ڈاک ٹکٹ,штамп,우표
 star, ستارہ,звезда, 별
 station, اسٹیشن,станция, 역
 stem, تنا, корень, 줄기
 stick, چھڑی, палка, 막대
 stocking, ذخیرہ,чулок,스타킹
 stomach, معدہ, желудок, 위
 store, اسٹور, магазин, 가게
 street, گلی, улица, 거리
 sun, سورج, солнце, 해
 table, میز, стол, 테이블
 tail, دم, хвост, 꼬리
 thread, دھاگہ, нить, 실
 throat, گلا, горло, 목
 thumb, انگوٹھا, большой палец,엄지손가락
 ticket, ٹکٹ,билет,티켓
 toe, پیر, палец на ноге,발가락
 tongue, زبان, язык, 혀
 tooth, دانت,зуб, 이빨
 town, شہر, город, 도시
 train, ٹرین, тренироваться, 기차
 tray, ٹرے, поднос,트레이
 tree, درخت, дерево, 나무
 trousers, پتلون, брюки,바지
 umbrella, چھتری,зонтик, 우산
 wall, دیوار, стена, 벽
 watch, گھڑی, смотреть, 보다
 wheel, وہیل, колесо, 바퀴
 whip, کوڑا, хлыст,채찍
 whistle, سیٹی, свист, 휘파람
 window, کھڑکی,окно, 창문
 wing, بازو,крыло,날개
 wire, تار, проволока,와이어
 worm, کیڑا,червь, 벌레
 able, قابل, способный, 할 수 있는
 acid, تیزاب, кислота,산
 angry, ناراض, злой, 화난
 automatic, خودکار,автоматический,자동
 beautiful, خوبصورت, красивый, 아름다운
 black, سیاہ,черный, 검은색
 boiling, ابلتے ہوئے,кипящий,끓는
 bright, روشن, яркий, 밝은
 broken, ٹوٹا ہوا, сломанный, 고장난
 brown, بھورا, коричневый, 갈색
 cheap, سستا, дешевый, 값이 싼
 chemical, کیمیائی,химический, 화학적인
 chief, چیف, главный, 셰프
 clean, صاف, чистый, 깨끗한
 clear, صاف, прозрачный, 분명한
 common, عام, общий, 흔한
 complex, پیچیدہ, сложный, 복잡한
 conscious, ہوش, сознательный, 의식하는
 cut, کاٹنا, резать, 자르다
 deep, گہرا, глубокий, 깊은
 dependent, منحصر,зависимый,의존적인
 early, جلد, рано, 일찍
 elastic, لچکدار,эластичный,탄력있는
 electric, بجلی,электрический,전기
 equal, برابر, равный, 동일한
 fat, چربی, толстый, 지방
 fertile, زرخیز,плодородный,비옥한
 first, پہلے, первый, 첫 번째
 fixed, طے شدہ, зафиксированный,고정
 flat, فلیٹ, плоский, 평평한
 free, مفت, бесплатно, 무료
 frequent, بار بار, частый, 잦은
 full, مکمل, полный, 가득한
 general, جنرل, общий, 일반적인
 good, اچھا, хороший, 좋은
 great, بہت اچھا, большой, 엄청난
 grey, سرمئی, серый, 회색
 hanging, پھانسی,висит,매달려
 happy, خوش, счастливый, 행복하다
 hard, مشکل, жесткий, 딱딱한
 healthy, صحت مند, здоровый, 건강한
 high, اعلی, высокий, 높은
 hollow, کھوکھلا, пустой,속이 빈
 important, اہم, важный, 중요한
 kind, قسم, добрый, 친절한
 like, پسند, нравиться, 좋다
 living, زندہ, жизнь, 생활
 long, طویل, длинный, 긴
 male, مرد, мужской, 남성
 married, شادی شدہ, женатый, 기혼
 material, مواد,материал, 재료
 medical, طبی,медицинский,의료
 military, فوجی, военный, 군대
 natural, قدرتی, естественный, 자연스러운
 necessary, ضروری, необходимый, 필요한
 new, نیا, новый, 새로운
 normal, عام, нормальный, 정상
 open, کھلا, открыть, 열려 있는
 parallel, متوازی,параллельный, 평행한
 past, ماضی, прошлое, 과거
 physical, جسمانی,физический, 물리적
 political, سیاسی,политический, 정치적인
 poor, غریب, бедный, 가난한
 possible, ممکن, возможный, 가능한
 present, موجود, подарок, 현재의
 private, نجی, частный, 사적인
 probable, ممکنہ,вероятный,가능성이 있는
 quick, جلدی, быстрый, 빠른
 quiet, خاموش, тихий, 조용한
 ready, تیار, готовый, 준비가 된
 red, سرخ, красный, 빨간색
 regular, باقاعدہ, обычный, 정기적인
 responsible, ذمہ دار, ответственный, 책임이 있는
 right, صحیح, верно, 오른쪽
 round, گول, круглый, 둥근
 same, ایک ہی, такой же, 같은
 second, دوسرا, второй, 두번째
 separate, الگ, отдельный, 분리된
 serious, سنجیدہ, серьезный, 심각한
 sharp, تیز, острый, 날카로운
 smooth, ہموار, гладкий, 매끄러운
 sticky, چپچپا,липкий,끈적끈적하다
 stiff, سخت, жесткий, 뻣뻣한
 straight, سیدھا, прямой, 똑바로
 strong, مضبوط, сильный, 강한
 sudden, اچانک, внезапный,갑작스러운
 sweet, میٹھا, сладкий, 달콤한
 tall, لمبا, высокий, 키가 큰
 thick, موٹی, толстый, 두꺼운
 tight, تنگ, тугой, 단단한
 tired, تھکا ہوا, усталый, 피곤한
 true, سچ ہے, истинный, 진실
 violent, پرتشدد, жестокий, 폭력적인
 waiting, انتظار, ожидающий, 대기 중
 warm, گرم, теплый, 따뜻한
 wet, گیلے, влажный, 젖은
 wide, چوڑا, широкий, 넓은
 wise, عقلمند, мудрый, 지혜로운
 yellow, پیلا, желтый, 노란색
 young, نوجوان, молодой, 어린
 awake, جاگنا, бодрствующий, 깨어 있는
 bad, برا, плохой, 나쁜
 bent, جھکا,согнутый,구부러진
 bitter, تلخ, горький, 격렬한
 blue, نیلا, синий, 파란색
 certain, یقینی, определенный, 확실한
 cold, ٹھنڈ, холодный, 추운
 complete, مکمل, полный, 완벽한
 cruel, ظالمانہ, жестокий, 잔혹한
 dark, اندھیرا, темный, 어두운
 dead, مردہ, мертвый, 죽은
 dear, پیارے, дорогой, 에게
 delicate, نازک,деликатный, 연약한
 different, مختلف, другой, 다른
 dirty, گندا, грязный, 더러운
 dry, خشک, сухой, 마른
 false, جھوٹا, ЛОЖЬ, 거짓
 feeble, کمزور,слабый,허약한
 female, خاتون, женский, 여성
 foolish, بے وقوف, глупый, 바보 같은
 future, مستقبل, будущее, 미래
 green, سبز, зеленый, 녹색
 ill, بیمار, больной, 아픈
 last, آخری, последний, 마지막
 late, دیر سے, поздно, 늦은
 left, چھوڑ دیا, левый, 왼쪽
 loose, ڈھیلا, свободный, 헐렁한
 loud, بلند آواز, громкий, 시끄러운
 low, کم, низкий, 낮은
 mixed, ملا ہوا,смешанный,혼합
 narrow, تنگ, узкий, 좁은
 old, پرانا, старый, 오래된
 opposite, مخالف, противоположный, 반대
 public, عوامی,публичный, 공공의
 rough, کھردرا, грубый, 거친
 sad, اداس,грустный,슬픈
 safe, محفوظ, безопасный, 안전한
 secret, خفیہ,секрет, 비밀
 short, مختصر, короткий, 짧은
 shut, بند, закрыть, 닫다
 simple, سادہ, простой, 단순한
 slow, سست, медленный, 느린
 small, چھوٹا, маленький, 작은
 soft, نرم, мягкий, 부드러운
 solid, ٹھوس, твердый, 단단한
 special, خصوصی, особенный, 특별한
 strange, عجیب, странный, 이상한
 thin, پتلا, тонкий, 얇은
 white, سفید, белый, 하얀색
 wrong, غلط, неправильный, 잘못된